surveyId,country,spatial_block,matched_v27_f1,v29_f1,delta_f1,true_cardinality,predicted_cardinality
286960,Denmark,+054:+009,0.5454545454545454,0.5,-0.045454545454545414,7,13
287966,Denmark,+055:+009,0.27586206896551724,0.11428571428571428,-0.16157635467980297,7,28
289509,Denmark,+054:+009,0.3076923076923077,0.3902439024390244,0.0825515947467167,19,22
291218,Denmark,+055:+009,0.3333333333333333,0.4727272727272727,0.1393939393939394,33,22
291320,Denmark,+055:+009,0.4,0.35,-0.050000000000000044,25,15
292625,Denmark,+054:+009,0.4,0.6,0.19999999999999996,10,10
302463,Denmark,+054:+009,0.4090909090909091,0.4,-0.009090909090909094,22,18
304567,Denmark,+055:+009,0.4117647058823529,0.30303030303030304,-0.10873440285204988,13,20
304941,France,+043:+000,0.5,0.6122448979591837,0.11224489795918369,22,27
305611,Denmark,+054:+009,0.375,0.24242424242424243,-0.13257575757575757,11,22
308175,Italy,+042:+015,0.23076923076923078,0.4444444444444444,0.21367521367521364,8,19
313795,Denmark,+055:+009,0.46153846153846156,0.42105263157894735,-0.04048582995951422,10,9
316818,Denmark,+055:+009,0.4090909090909091,0.2564102564102564,-0.15268065268065273,22,17
318699,Denmark,+055:+009,0.6086956521739131,0.47619047619047616,-0.13250517598343692,20,22
319112,Denmark,+054:+009,0.35714285714285715,0.5,0.14285714285714285,11,13
320779,Denmark,+055:+009,0.12121212121212122,0.06666666666666667,-0.05454545454545455,16,14
321300,Denmark,+055:+009,0.3404255319148936,0.2926829268292683,-0.047742605085625334,21,20
323316,Denmark,+055:+009,0.47368421052631576,0.4,-0.07368421052631574,15,15
324012,Denmark,+054:+009,0.2777777777777778,0.24242424242424243,-0.03535353535353536,16,17
326291,Denmark,+054:+009,0.2962962962962963,0.4444444444444444,0.14814814814814814,9,18
326442,Denmark,+054:+009,0.38095238095238093,0.45454545454545453,0.0735930735930736,7,15
328000,Denmark,+055:+009,0.35,0.5128205128205128,0.1628205128205128,18,21
329790,Denmark,+055:+009,0.391304347826087,0.36,-0.03130434782608699,24,26
331966,Slovenia,+046:+013,0.21428571428571427,0.2978723404255319,0.08358662613981763,56,38
332925,Denmark,+054:+009,0.3,0.3333333333333333,0.033333333333333326,6,18
333276,Denmark,+055:+009,0.5161290322580645,0.43478260869565216,-0.08134642356241234,12,11
334082,Denmark,+055:+009,0.18181818181818182,0.07407407407407407,-0.10774410774410775,12,15
334406,Denmark,+054:+009,0.43478260869565216,0.48,0.04521739130434782,9,16
336104,Denmark,+054:+009,0.7407407407407407,0.8,0.059259259259259345,11,14
338239,Denmark,+055:+009,0.07142857142857142,0.1935483870967742,0.12211981566820276,10,21
339984,Denmark,+054:+009,0.13793103448275862,0.3333333333333333,0.1954022988505747,10,20
340185,Denmark,+054:+009,0.42424242424242425,0.5625,0.13825757575757575,18,14
340429,France,+044:+000,0.5384615384615384,0.7368421052631579,0.19838056680161942,7,12
341727,Denmark,+055:+009,0.22857142857142856,0.125,-0.10357142857142856,16,16
342164,France,+044:-001,0.6153846153846154,0.9,0.2846153846153846,9,11
343337,Germany,+054:+009,0.42857142857142855,0.48,0.051428571428571435,10,15
344486,France,+043:+000,0.5185185185185185,0.4406779661016949,-0.07784055241682358,32,27
344964,Denmark,+055:+009,0.631578947368421,0.48484848484848486,-0.14673046251993616,18,15
345022,Denmark,+055:+009,0.3333333333333333,0.3,-0.033333333333333326,6,14
345365,Denmark,+055:+009,0.16666666666666666,0.2727272727272727,0.10606060606060605,4,18
346478,Denmark,+055:+009,0.7619047619047619,0.7,-0.06190476190476191,8,12
348937,Denmark,+055:+009,0.4666666666666667,0.5714285714285714,0.10476190476190472,12,16
352368,Slovakia,+048:+018,0.1,0.05194805194805195,-0.048051948051948054,37,40
352990,Denmark,+054:+009,0.38461538461538464,0.36363636363636365,-0.02097902097902099,7,15
354844,Denmark,+055:+009,0.4,0.3548387096774194,-0.04516129032258065,35,27
357252,Denmark,+055:+009,0.3783783783783784,0.36363636363636365,-0.014742014742014753,20,13
358270,France,+043:+000,0.5161290322580645,0.5230769230769231,0.006947890818858604,39,26
359136,Denmark,+055:+009,0.07407407407407407,0.07692307692307693,0.0028490028490028574,7,19
360205,Denmark,+055:+009,0.55,0.6666666666666666,0.11666666666666659,18,21
364854,Denmark,+055:+009,0.4864864864864865,0.5333333333333333,0.04684684684684681,15,15
365576,Denmark,+055:+009,0.16666666666666666,0.2222222222222222,0.05555555555555555,11,25
366587,Denmark,+055:+009,0.4444444444444444,0.42105263157894735,-0.023391812865497075,15,23
366992,Denmark,+055:+009,0.5641025641025641,0.5,-0.0641025641025641,13,27
367366,Denmark,+055:+009,0.27906976744186046,0.5365853658536586,0.2575155984117981,21,20
368332,France,+044:+006,0.22727272727272727,0.1276595744680851,-0.09961315280464217,20,27
368869,Denmark,+055:+009,0.39285714285714285,0.32727272727272727,-0.06558441558441558,38,17
370140,Denmark,+055:+009,0.0,0.1935483870967742,0.1935483870967742,10,21
370171,Denmark,+055:+009,0.44,0.52,0.08000000000000002,26,24
372490,France,+044:-001,0.4166666666666667,0.6666666666666666,0.24999999999999994,9,12
373723,Slovenia,+046:+013,0.17647058823529413,0.13793103448275862,-0.03853955375253551,15,14
373955,Denmark,+055:+009,0.30303030303030304,0.21428571428571427,-0.08874458874458876,9,19
378261,Denmark,+054:+009,0.0625,0.13333333333333333,0.07083333333333333,10,20
379698,Denmark,+055:+009,0.2,0.2222222222222222,0.0222222222222222,8,28
